slug,primary_keyword,secondary_keywords,intent,priority
20s-datsumo-guide,20代 脱毛,"脱毛 初めて,脱毛 選び方",comparison,high
aga-clinic-ranking,AGA治療 おすすめ,"AGA クリニック,薄毛 治療",ranking,high
collagen-supplement-ranking,コラーゲンサプリ おすすめ,"コラーゲン 効果,コラーゲン 飲み方",ranking,high
credit-card-beauty-ranking,美容 クレジットカード,"脱毛 クレカ,美容費 節約",ranking,mid
credit-card-cashback,女性 クレジットカード,"ポイント還元 女性,美容費 お得",ranking,mid
datsumo-clinic-ranking,脱毛クリニック おすすめ,"脱毛 ランキング,脱毛 比較",ranking,high
datsumo-price-guide,脱毛 料金相場,"脱毛 値段,VIO 料金",guide,high
datsumo-salon-vs-clinic,脱毛サロン クリニック 違い,"脱毛 どっち,脱毛 比較",comparison,high
datsumo-student-guide,学生 脱毛,"学割 脱毛,学生 脱毛 安い",guide,mid
diet-supplement-ranking,ダイエットサプリ おすすめ,"痩せる サプリ,ダイエット 効果",ranking,high
hair-care-ranking,ヘアケア おすすめ,"シャンプー ランキング,育毛剤",ranking,mid
mens-datsumo-ranking,メンズ脱毛 おすすめ,"メンズ 脱毛 クリニック,ヒゲ脱毛",ranking,high
mens-skincare-guide,メンズスキンケア 初心者,"メンズ 化粧水,メンズ 洗顔",guide,mid
poikatsu-guide,ポイ活 始め方,"ポイ活 稼ぐ,ポイ活 月1万",guide,mid
protein-ranking,女性 プロテイン おすすめ,"プロテイン ダイエット,美容 プロテイン",ranking,high
self-whitening-guide,セルフホワイトニング,"ホワイトニング 自宅,ホワイトニング 安い",guide,mid
skincare-ranking,美容皮膚科 おすすめ,"シミ 治療,ニキビ跡 皮膚科",ranking,high
student-credit-card-ranking,学生 クレジットカード,"学生 クレカ 年会費無料,学生 クレカ おすすめ",ranking,mid
vio-datsumo-guide,VIO脱毛 おすすめ,"VIO 料金,VIO 痛み",ranking,high
vitamin-c-supplement-ranking,ビタミンCサプリ おすすめ,"ビタミンC 美白,ビタミンC 美肌",ranking,high
whitening-clinic-guide,ホワイトニング おすすめ,"ホワイトニング クリニック,歯 白く",ranking,mid
whitening-supplement-ranking,飲む日焼け止め,"美白サプリ,UVケア サプリ",ranking,high
summer-uv-care,紫外線対策,"日焼け止め おすすめ,UVカット グッズ,夏 スキンケア",guide,high
